,ds,Food_yhat,Clothing & Footwear_yhat,Housing & Utilities_yhat,Household Durables & Services_yhat,Health Care_yhat,Transport_yhat,Communication_yhat,Recreation & Culture_yhat,Miscellaneous Goods & Services_yhat
0,1962-01-01,1.1665958796002325,0.7789971367498398,2.414324543999989,1.4680053600000245,0.5161683567999478,0.6098958819998057,5.895310500000047,0.24119846130005446,1.200851119199932
1,1962-02-01,1.0219439631729914,0.9189226056875799,2.4359391556410412,1.604782406314184,0.49747590563620725,0.715599360407622,5.8740484612205766,0.25161519848455155,1.2848238953082278
2,1962-03-01,1.0854354997289557,0.9056430620508915,2.4815123008924815,1.5498840480828413,0.5548728068838219,0.6800782165813475,5.87903501253124,0.28250997732682775,1.314636678104648
3,1962-04-01,1.1417571085084215,0.8570018316838777,2.3839826303338763,1.563031515180097,0.5687858144938005,0.8707205839505904,5.824037121473893,0.2532571532825286,1.284306260751487
4,1962-05-01,1.1939404593973117,0.8943002004355416,2.433631211827555,1.470661321261535,0.5803049187898157,0.9136075904944196,5.745230414536873,0.2449190741138269,1.3026133465802463
5,1962-06-01,1.1866923486973737,0.9347942847118972,2.4507143856989586,1.507529222686722,0.6096207959509135,0.9910412915128162,5.684569540466249,0.2789413659108393,1.3346226999758966
6,1962-07-01,1.2335122688049074,0.9660897698356432,2.4399169457555314,1.578248663412515,0.6692696798094641,0.9135469895809222,5.675123422691496,0.3054710887366216,1.406628190606833
7,1962-08-01,1.1968455882648192,0.9539024281837145,2.4788344359883023,1.5987228665316557,0.712488555664801,0.9401684731014452,5.6671866655539,0.31774772236489524,1.419526230767282
8,1962-09-01,1.3087213510174247,0.9643352795911191,2.49713537436763,1.6575365586924222,0.7139840623703073,1.0190930305893062,5.719605517770179,0.31825179577344914,1.428688933729512
9,1962-10-01,1.4206009408729436,0.8781608335103788,2.4951569585901097,1.6450554475221564,0.709120535250444,1.0504794092577436,5.790288955033099,0.3463150195248074,1.4347069222682696
10,1962-11-01,1.4784484945483158,0.9701693291112828,2.513192321631763,1.6791174918792169,0.7124880176403234,1.0180823030610688,5.6151524981975225,0.33634971124122304,1.451680878876232
11,1962-12-01,1.4934276841378025,0.9750246024361255,2.53826213593716,1.7531031140650732,0.7231766610141741,1.0741132201177916,5.617566524575113,0.4063370975634112,1.4780963620425025
12,1963-01-01,1.398744486102625,1.0772673245281421,2.4642536115991036,1.7255433571241856,0.8153906149916205,1.0742318358778653,5.512323635221146,0.3316484056043567,1.5321238491003963
13,1963-02-01,1.5445216475952233,1.0048200497325566,2.5118744952541805,1.644037324853233,0.8778482560969034,0.9995418669994413,5.479184803562263,0.36379193942114385,1.5253465004177988
14,1963-03-01,1.5994408847402397,1.1624430803056474,2.534561327267156,2.003805118271812,0.7106440848671485,0.8308148425868846,5.6834748484707935,0.45496336003137994,1.6200495841665847
15,1963-04-01,1.6452028023474312,0.9017002589203974,2.4124283702245854,2.014104285733283,0.8000922035771454,1.174027157436967,5.596352084497951,0.39103673565574787,1.5285598175308315
16,1963-05-01,1.72023854190208,0.9863312037435376,2.4869409095336192,1.6888332588912314,0.8026023376681611,1.3215523674066214,5.37954645983057,0.3289628946429822,1.5367943812566243
17,1963-06-01,1.6507981495230875,1.1271747300653125,2.4947209355946813,1.724232273006736,0.8078886876934696,1.4242385379545257,5.277614459688477,0.3928707607323496,1.565661173257115
18,1963-07-01,1.7129152505074776,1.221671075789207,2.4928271389354517,1.8596257306543782,0.9531498543624549,1.1844197291704943,5.274049933752798,0.43383074235362246,1.7336004103921725
19,1963-08-01,1.5556036910386002,1.1103828458595721,2.529829430640629,1.8811267880772942,1.0301921050478717,1.1706616940687504,5.318412427211265,0.45585196063276673,1.7083066921577437
20,1963-09-01,1.8021468965710632,1.1738322351955615,2.562340261036131,1.9980942550400467,0.9790178443667819,1.3327980936251067,5.454914923395424,0.45144954473916926,1.7100311274292088
21,1963-10-01,1.988845060789907,0.8818747341623754,2.5451461610611625,1.9155064315830783,0.9165250635967656,1.3364740410145648,5.680841448598408,0.4851391181908549,1.663281049163651
22,1963-11-01,1.9893050055300752,1.1495677370135549,2.5540387401047644,1.9922554358685698,0.9024449833804863,1.316399688906174,5.175510499105757,0.43350604732200365,1.690735891561926
23,1963-12-01,2.0759269225186663,1.1024234955621095,2.5689638631294156,2.1434563234203763,0.9000827715281031,1.431884416138523,5.232351747259278,0.5528114910569042,1.7291351129105195
24,1964-01-01,1.6298627751270318,1.3754342575284502,2.5149506905894743,1.9785984160318677,1.11768719719785,1.5365964855842025,5.1302278633237215,0.4220055886745495,1.8636583666743103
25,1964-02-01,2.070574368210252,1.0897563303553799,2.5879798121984705,1.6853833397097493,1.2569960965597937,1.278797517530847,5.087615802330468,0.4770584318336066,1.7655322790852706
26,1964-03-01,1.9879782725859525,1.0197476819283302,2.5732704392456967,1.8278132593431227,1.2133834410883932,1.6373568543342853,4.975263494792655,0.43816321190808394,1.7697883440129438
27,1964-04-01,2.0639446044607914,1.3937612718967594,2.526502231736633,1.8247109311767953,1.0830661902612517,1.5332762103862645,4.971010681073527,0.4741873056693378,1.8598983655057042
28,1964-05-01,2.066694239063123,1.3497307685440652,2.527487526046659,2.1935164282323054,1.1128474557752694,1.3611718150008945,5.164904603208677,0.5755621187019117,1.9017918706293844
29,1964-06-01,2.1825259905854817,1.1914298329216488,2.5629777815853267,2.244082936608097,1.1942182438778297,1.375257596858338,5.193636048547344,0.5529808538155587,1.9445550638408333
30,1964-07-01,2.198574100961143,1.087040441647184,2.5346703153359624,2.1899996468247585,1.0840507263546377,1.6176712517939122,5.181530153101171,0.5507609477397803,1.823099866144479
31,1964-08-01,2.4102125873841937,1.2687925342064101,2.5773714494751294,2.2089503718436894,1.0530609580715162,1.733900725584533,5.07480670918634,0.5425910085190297,1.9074401343534837
32,1964-09-01,2.2604798713867544,1.169622303908583,2.5664185194577707,2.1486330507122364,1.1545370416523353,1.6499427736188481,4.959288612770389,0.5519972522193597,1.9297115857720328
33,1964-10-01,2.215518057647817,1.5017651789882247,2.593729643298238,2.2752334303357427,1.2659291840178666,1.7368387737369348,4.6997977223642335,0.5672083053307764,2.0426247094608163
34,1964-11-01,2.3831898169145345,1.2501041955698178,2.630399358182285,2.2266136602362177,1.3083620151662936,1.6832016226503421,5.1792410291993285,0.6417896022122859,2.042268675228574
35,1964-12-01,2.244103551988476,1.3594411647215385,2.6775670796409665,2.137223858321586,1.3534941028848615,1.6206672866837177,5.085945239402044,0.6130754927168771,2.0478900775313784
36,1965-01-01,2.8617019394281895,1.1132227187668882,2.5650909766631744,2.3767471750816678,1.196909280578088,1.399911451055205,4.978402534138835,0.6508749162985225,1.9373751279045008
37,1965-02-01,2.431358133564649,1.464505080812681,2.560133115625545,2.7381827241734387,1.0928504273435022,1.6830832637401787,4.97145731749046,0.6407723266702134,2.1114341798733753
38,1965-03-01,2.5006210915266367,1.279693929852188,2.6276977382833366,2.271726748103077,1.3736811483536562,1.786426537958163,4.775791341656436,0.6103953988760532,2.076184860279455
39,1965-04-01,2.567012748675391,1.442702787638097,2.5552990096933423,2.2803948706468264,1.3143293352549417,1.8279135264757171,4.748425522908298,0.6144726243702612,2.106407606175007
40,1965-05-01,2.59509921977812,1.437105238622177,2.5804321326324264,2.419476374808955,1.3349388119778693,1.764194116626663,4.806584455008401,0.660640378556182,2.13594440351774
41,1965-06-01,2.6496308491513108,1.3778366935613893,2.6067528169878553,2.4614184553169887,1.3896176971416059,1.8120866569723224,4.7895085422981145,0.6658256219250281,2.1725801803712343
42,1965-07-01,2.681107657060838,1.3428067159772812,2.587147560560011,2.468955935088319,1.3640860677441733,1.8954044913247767,4.7772135191332055,0.6779521452150764,2.1480844769587186
43,1965-08-01,2.7674573823283843,1.4283282082269066,2.6279631991788692,2.488568006704867,1.371277944124908,1.9653800798416496,4.718883204576021,0.6801597292719462,2.1975338970847793
44,1965-09-01,2.7471935545655435,1.3845614556874308,2.6317721300030166,2.4882679695697125,1.423678468311538,1.9622500774070935,4.687242569382018,0.6852668592613409,2.213556222074146
45,1965-10-01,2.781811514836269,1.506485578904993,2.6446348374427724,2.5455322403142047,1.476809930052953,2.021376781552271,4.596077946968833,0.7071726492358723,2.2728184189964726
46,1965-11-01,2.8954059535313013,1.4253304745058322,2.671935077703752,2.5377881047388255,1.4990290370960166,1.9777824382557532,4.749309257690641,0.7392907754605026,2.2805219743104104
